CustomerID,Gender,Age,Dependents,ContractType,Tenure,BillingMethod,PaymentMethod,MonthlyCharges,TotalCharges,InternetService,StreamingTV,StreamingMovies,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,SupportCalls,EngagementLevel,DowntimeHistory,ServiceType,PromoOffer,PriceHikeNotice,Churn
C001,Male,30,No,Monthly,15,Yes,Credit Card,75.5,1100.5,Fiber optic,Yes,No,Yes,No,No,Yes,No,Yes,3,High,1,Premium,Yes,No,Yes
C002,Female,45,Yes,Two-year,24,Yes,Electronic Check,89.9,2157.6,DSL,No,Yes,Yes,Yes,Yes,No,Yes,No,1,Medium,0,Basic,No,Yes,No
C003,Male,34,No,One-year,10,No,Bank Transfer,65.0,650.0,Fiber optic,Yes,No,Yes,No,No,Yes,No,Yes,4,Low,2,Standard,Yes,No,No
C004,Female,29,No,Monthly,5,Yes,Mailed Check,55.3,276.5,None,No,No,No,No,No,No,No,No,2,Low,1,Basic,No,No,Yes
C005,Male,50,Yes,Two-year,36,No,Credit Card,99.9,3596.4,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,High,0,Premium,No,Yes,No
C006,Female,42,No,One-year,18,No,Bank Transfer,80.93,3661.76,DSL,No,No,Yes,Yes,No,Yes,Yes,No,6,High,1,Basic,No,Yes,Yes
C007,Male,58,No,Monthly,7,Yes,Mailed Check,110.02,3364.74,None,No,No,No,Yes,Yes,No,No,Yes,6,Low,1,Standard,No,Yes,Yes
C008,Female,45,Yes,One-year,38,Yes,Credit Card,116.97,1913.28,DSL,Yes,Yes,No,No,No,No,Yes,No,1,Low,2,Basic,Yes,No,No
C009,Male,41,No,Monthly,34,No,Bank Transfer,95.99,3706.88,DSL,No,Yes,No,No,No,Yes,No,No,3,Medium,3,Premium,No,Yes,Yes
C010,Female,50,No,One-year,15,Yes,Credit Card,78.34,711.54,Fiber optic,Yes,No,No,No,No,No,No,Yes,9,High,1,Basic,Yes,Yes,Yes
C011,Female,41,Yes,One-year,12,No,Mailed Check,96.74,236.6,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Medium,1,Standard,Yes,No,No
C012,Male,31,No,Two-year,18,No,Mailed Check,60.63,2673.59,DSL,No,Yes,No,No,No,Yes,Yes,No,3,Medium,4,Premium,No,Yes,No
C013,Male,18,Yes,Monthly,1,No,Mailed Check,43.9,4166.78,None,No,No,Yes,Yes,No,Yes,No,Yes,1,Medium,4,Basic,Yes,No,No
C014,Male,18,No,One-year,29,No,Electronic Check,46.95,3169.54,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,10,High,4,Basic,No,Yes,No
C015,Male,45,No,One-year,9,No,Mailed Check,50.23,786.98,DSL,No,Yes,No,No,No,No,Yes,No,7,High,2,Premium,Yes,No,No
C016,Female,35,No,One-year,33,No,Electronic Check,69.27,1079.47,DSL,No,Yes,No,Yes,No,No,Yes,No,8,High,5,Standard,Yes,Yes,Yes
C017,Male,49,Yes,Two-year,7,Yes,Mailed Check,45.51,4911.73,None,No,Yes,No,No,Yes,Yes,Yes,Yes,0,High,0,Standard,Yes,No,No
C018,Male,40,No,One-year,46,No,Credit Card,62.27,4836.46,DSL,Yes,No,No,Yes,Yes,No,No,No,7,Low,1,Premium,No,Yes,No
C019,Female,43,No,One-year,24,Yes,Bank Transfer,74.12,3370.35,None,Yes,Yes,Yes,Yes,No,Yes,Yes,No,7,Low,4,Standard,No,No,No
C020,Male,49,No,One-year,3,No,Bank Transfer,46.65,2206.33,DSL,No,No,Yes,Yes,Yes,No,No,No,10,High,2,Premium,No,No,Yes
C021,Female,27,No,Two-year,40,No,Mailed Check,77.19,428.86,DSL,Yes,Yes,Yes,No,Yes,No,No,Yes,0,Medium,3,Standard,No,No,Yes
C022,Female,50,No,Monthly,18,Yes,Bank Transfer,62.6,356.7,Fiber optic,Yes,No,No,No,Yes,No,Yes,No,9,High,2,Standard,No,No,No
C023,Male,49,Yes,Monthly,9,Yes,Electronic Check,59.2,2020.44,DSL,No,No,Yes,Yes,Yes,No,Yes,Yes,2,High,4,Premium,Yes,No,No
C024,Male,48,No,Two-year,42,No,Bank Transfer,87.51,335.47,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,10,Low,1,Premium,No,No,No
C025,Female,46,No,Two-year,41,No,Credit Card,103.19,2450.45,None,Yes,Yes,No,No,Yes,Yes,Yes,Yes,0,Low,2,Basic,Yes,Yes,No
